window_id,date,start_time,duration_s,flow_point,standard_volume_m3,standard_rate_m3h,condition_note,is_disturbed,disturbance_id,disturbance_angle_deg,phys6_volume_m3,owics_volume_m3,lagrange_volume_m3,equal_weight_volume_m3,chord0,chord1,chord2,chord3,chord4,ab0,ab1,ab2,ab3,ab4,profile_top_bottom,profile_center_all,profile_edge_inner,profile_inner_skew,profile_ab_abs,profile_swirl,dyn_first_0p1_s,dyn_tail_0p1_s,dyn_start_over_plateau,dyn_end_over_plateau,dyn_plateau_cv,dyn_active_eq_s,zero_rate_med,zero_rate_mad,zero_age_s
updated_20260607_home__20260607_093346,20260607,09:33:46,191,50,82.2278,1549.84335079,no_disturbance_reference,0,D0,,81.9511046117,82.4587265016,81.833375535,82.6105947049,3.10767159729,3.39064504655,3.42185102773,3.3823377448,3.15772416573,-0.031383275226,-0.0244019582813,-0.00569200940977,0.00976375080522,0.0479125033297,-0.0152040918376,1.03942992127,0.925057091689,0.00252344650104,0.014477744245,-0.00810867183368,1.01699995995,2.98300004005,0.0581351023409,-0.00328121079887,0.0553829280822,178.450062716,0.696662723853,0.10506975417,116.983
updated_20260607_home__20260607_104833,20260607,10:48:33,116,80,83.3488,2586.68689655,no_disturbance_reference,0,D0,,83.0500088696,83.5633926818,82.9447232577,83.7192301479,5.20166299709,5.65865114483,5.70347460457,5.63767042629,5.26487779169,-0.0963540798008,-0.0526292917792,-0.013830455584,0.032931988056,0.0890001451283,-0.0115076856958,1.03826633525,0.926544160671,0.00381935140513,0.0207341780389,-0.0115491828212,2.01699995995,3.98300004005,0.0404467614052,7.05569904593e-05,0.0364680407813,102.550847432,0.762890648233,0.111879321771,130.983
updated_20260607_home__20260607_111129,20260607,11:11:29,126,70,83.5689,2387.68285714,no_disturbance_reference,0,D0,,83.2769075909,83.7883228603,83.173137626,83.9515119812,4.81645129244,5.22997253965,5.26207960616,5.19910581606,4.84901785978,-0.0589044899259,-0.0364826835536,-0.0111600475514,0.0182218161778,0.0540712055001,-0.0064217072723,1.03761426598,0.926780758813,0.00608651999515,0.0141059961882,-0.00771741101805,2.01699995995,1.98300004005,0.012052103601,-0.000310194732215,0.0426206979117,114.217724217,0.882101704938,0.109531409974,340.983
updated_20260607_home__20260607_113256,20260607,11:32:56,141,60,82.8287,2114.77531915,no_disturbance_reference,0,D0,,82.4996274241,83.0070260032,82.3950813872,83.1671586511,4.24857965221,4.62056993871,4.65944622849,4.61232680004,4.30648839753,-0.0633688573309,-0.03628080568,-0.015993870971,0.0133514317394,0.0656963630499,-0.0128987581846,1.03785826904,0.926585479272,0.00183610008877,0.017346439518,-0.00943366791571,2.01699995995,3.98300004005,0.00193006252023,-0.00049497777544,0.0364500531017,127.46906107,0.854165182586,0.115367874709,96.983
updated_20260607_home__20260607_115557,20260607,11:55:57,155,60,81.9485,1903.32,no_disturbance_reference,0,D0,,81.5919876908,82.0956738107,81.4607584184,82.2506296222,3.81094329977,4.16640082416,4.20124666333,4.14808321467,3.8681949783,-0.0291049436347,-0.0296040538782,-0.00801938255231,0.00999673324532,0.0340119383993,-0.0141748081124,1.04017675664,0.923585665954,0.00453521374804,0.010966850225,-0.00582396771424,2.01699995995,1.98300004005,0.0299295229582,0.00690370928497,0.045687957188,145.172705381,0.868117469676,0.0956046610399,48.983
updated_20260607_home__20260607_122116,20260607,12:21:16,185,50,82.3286,1602.07005405,no_disturbance_reference,0,D0,,81.9519554868,82.4578273128,81.8252913179,82.6134602353,3.21408216446,3.50495023406,3.53420680812,3.49064692978,3.25077820632,-0.0342626855345,-0.0262794902549,-0.00875794184675,0.010778495306,0.0364996561544,-0.0107963420511,1.0397989442,0.924132739403,0.00420817498692,0.0137193964818,-0.007362943718,2.01699995995,2.98300004005,0.0436296498639,0.000882219477151,0.0439113203346,174.73404369,0.858140907615,0.145354260264,717.983
updated_20260607_home__20260607_124409,20260607,12:44:09,231,40,83.0889,1294.89194805,no_disturbance_reference,0,D0,,82.7121328408,83.2218093129,82.5537974333,83.3812018589,2.5998922612,2.83772799778,2.86235162098,2.82334855809,2.613609329,0.00125794760254,-0.010807643472,-0.00543094046365,0.0012757266016,-0.000838321608856,-0.00499277059266,1.04184547403,0.920938188832,0.00523386227546,0.00285516197305,-0.000610028760753,2.01699995995,4.98300004005,0.00279542117723,0.00158301936893,0.0437025040965,221.138266317,0.82000586264,0.12449330958,328.983
updated_20260607_home__20260607_133216,20260607,13:32:16,119,80,85.1494,2575.94823529,no_disturbance_reference,0,D0,,84.8793210958,85.407584378,84.798501364,85.5590612588,5.19077771537,5.62982361906,5.67461284964,5.61168379913,5.25539926271,-0.0239795933361,-0.0240867763266,-0.00913207135367,2.09434879554e-05,0.0350187880984,-0.0118085018145,1.03694013676,0.929250552393,0.00331474725296,0.00674199039458,-0.00358531458357,2.01699995995,2.98300004005,0.0346128005201,-0.000961487905801,0.0386965903344,105.642889764,0.919102161002,0.0970310484382,108.983
updated_20260607_home__20260607_135505,20260607,13:55:05,127,70,83.1089,2355.84283465,no_disturbance_reference,0,D0,,82.8225545105,83.3333116566,82.7307772291,83.4910303787,4.72591854891,5.14395772904,5.18958472814,5.14124056855,4.81827882005,0.00281552585459,-0.0136152259406,-0.00987055559661,-0.00131339699496,-0.00423925413375,-0.018458040593,1.03712954051,0.927954628856,0.000543019827981,0.00254638342714,-8.76593231199e-05,2.01699995995,6.98300004005,0.00622919046574,0.000514185644997,0.0467352290454,109.129061199,0.840978706651,0.115957720012,81.983
updated_20260607_home__20260607_141757,20260607,14:17:57,138,60,81.4884,2125.78434783,no_disturbance_reference,0,D0,,81.1315774082,81.6334722712,81.0350531941,81.7848459273,4.2733387172,4.6469430006,4.68163180495,4.62681082511,4.32546698867,-0.0349542779145,-0.0303954679623,-0.0139185346567,0.00636462264973,0.0468962998573,-0.0115562271078,1.03786292647,0.927219534557,0.00446306746097,0.0117520687009,-0.00616916105201,2.01699995995,2.98300004005,0.00201369831019,0.00110546948344,0.0477740740107,125.615352646,0.848658720235,0.206671759284,754.983
